id,name,year,expansion,minplayers,maxplayers,bestminnumplayers,bestmaxnumplayers,rminnumplayers,rmaxnumplayers,age,averageweight,minplaytime,maxplaytime,url
1,Die Macher,1986,0,3,5,5,5,4,5,14,4.32,240,240,1/die-macher
2,Dragonmaster,1981,0,3,4,4,4,4,4,12,1.96,30,30,2/dragonmaster
3,Samurai,1998,0,2,4,3,3,2,4,10,2.49,30,60,3/samurai
5,Acquire,1964,0,2,6,4,4,3,6,12,2.5,90,90,5/acquire
7,Cathedral,1978,0,2,2,2,2,2,2,8,1.8,20,20,7/cathedral
9,El Caballero,1998,0,2,4,0,0,2,4,13,3.19,90,90,9/el-caballero
10,Elfenland,1998,0,2,6,4,4,3,6,10,2.16,60,60,10/elfenland
11,Bohnanza,1997,0,2,7,4,5,3,7,13,1.67,45,45,11/bohnanza
12,Ra,1999,0,2,5,3,4,2,5,12,2.35,45,60,12/ra
13,Catan,1995,0,3,4,4,4,3,4,10,2.31,60,120,13/catan
14,Basari,1998,0,3,4,4,4,3,4,10,1.86,25,25,14/basari
15,Cosmic Encounter,1977,0,2,6,4,5,4,6,12,2.37,90,90,15/cosmic-encounter
16,MarraCash,1996,0,3,4,4,4,3,4,12,2.15,60,60,16/marracash
17,Button Men,1999,0,2,2,2,2,2,2,10,1.53,5,5,17/button-men
18,RoboRally,1994,0,2,8,5,6,3,8,12,2.43,45,120,18/roborally
19,Wacky Wacky West,1991,0,2,4,4,4,3,4,9,1.84,30,45,19/wacky-wacky-west
20,Full Metal Planète,1988,0,2,4,4,4,2,4,12,3.15,90,90,20/full-metal-planete
22,Magic Realm,1979,0,1,16,3,4,1,8,12,4.53,240,240,22/magic-realm
23,Divine Right,1979,0,2,6,4,6,3,6,12,3.19,360,360,23/divine-right
24,Twilight Imperium,1997,0,2,6,0,0,4,6,12,3.49,240,240,24/twilight-imperium
25,Battlemist,1998,0,2,6,0,0,3,5,12,3.2,200,200,25/battlemist
26,Age of Renaissance,1996,0,3,6,5,6,4,6,12,3.86,120,300,26/age-renaissance
27,Supremacy: The Game of the Superpowers,1984,0,2,6,4,6,3,6,12,3.12,340,340,27/supremacy-game-superpowers
28,Illuminati,1987,0,2,8,4,4,3,6,12,2.65,60,180,28/illuminati
30,Dark Tower,1981,0,1,4,4,4,1,4,10,1.81,90,90,30/dark-tower
31,Dark World,1991,0,2,5,5,5,2,5,10,1.93,90,90,31/dark-world
34,Arkham Horror,1987,0,1,8,4,4,1,5,12,2.4,180,180,34/arkham-horror
