gameid,name
1,Karl-Heinz Schmiel
2,"G. W. ""Jerry"" D'Arcey"
3,Reiner Knizia
4,Christian Beierer
5,Sid Sackson
6,Jean du Poël
7,Robert P. Moore
8,Martin Wallace
9,Wolfgang Kramer|Richard Ulrich
10,Alan R. Moon
11,Uwe Rosenberg
12,Reiner Knizia
13,Klaus Teuber
14,Reinhard Staupe
15,Bill Eberle|Jack Kittredge|Bill Norton|Peter Olotka
16,Stefan Dorra
17,James Ernest
18,Richard Garfield
19,Klaus Teuber
20,Gérard Delfanti|Gérard Mathieu|Pascal Trigaux
21,Mark A. Snowden
22,Richard Hamblen
23,Glenn Rahman|Kenneth Rahman
24,Christian T. Petersen
25,Christian T. Petersen
26,Don Greenwood|Jared Scarborough
27,Robert J. Simpson
28,Steve Jackson I
29,Franck Parcabe|Roland Scaron
30,Roger Burten|Alan Coleman|Vincent A. A. J. Erato
31,Eamon Bloomfield
32,Alex Randolph
34,Charlie Krank|Richard Launius|Sandy Petersen|Lynn Willis
36,Stephen V. Cole
37,Ian Livingstone
38,Bill Eberle|Jack Kittredge|Peter Olotka
39,Bill Eberle|Jack Kittredge|Peter Olotka
40,Bill Eberle|Jack Kittredge|Peter Olotka
41,Sid Sackson
42,Reiner Knizia
43,Alan R. Moon
44,Reinhard Staupe
45,Richard Borg
46,Reiner Knizia
47,Karsten Hartwig
48,Gerard Mulder
49,Uwe Rosenberg
50,Reiner Knizia
51,Alex Randolph
52,Rick Priestley|Nigel Stillman
53,Valentin Herman
54,Michael Kiesling|Wolfgang Kramer
55,Ken Howard|Robert Hyde
57,Yves Hirschfeld|Gilles Monnet
58,Doug Kaufman|Robert J. Kuntz|Tom Wham
59,Wilko Manz
60,Philippe Keyaerts
61,Klaus Palesch
62,Stephen Hand
63,Dan Campagna
64,Pascal Bernard
65,Amy Mook
66,Klaus Teuber
67,Donald Benge
68,Richard H. Berg|Mark Simonitch
69,Rob Nelson
70,Franz-Benno Delonge
71,Francis Tresham
72,Marcel-André Casasola Merkle
73,Dirk Henn
74,Matthew Kirby|Mark Alan Osterhaus
75,James Ernest
76,Evan Davis I
77,Craig Besinque|Tom Dalgliesh
78,Craig Besinque
79,Craig Besinque
80,Tim Taylor
81,Craig Besinque
82,Tom Dalgliesh
83,Tom Dalgliesh|Gary Selkirk
84,Craig Besinque
85,Steve Brewster|Tom Dalgliesh|Lance Gutteridge
87,Tom Dalgliesh|Grant Dalgliesh
88,Michael Kiesling|Wolfgang Kramer
89,Evan Jones
90,Craig Van Ness
91,Ted Raicer
93,Wolfgang Kramer|Richard Ulrich
94,Alan R. Moon
95,Doris Matthäus|Frank Nestel
96,"Larry Harris, Jr."
97,"Larry Harris, Jr."
98,"Larry Harris, Jr."
99,Michael Gray
101,Wolfgang Kramer
102,Uwe Rosenberg
103,Jason B. McAllister|David A. Trampier
104,Karl-Heinz Schmiel
105,Reiner Knizia
106,Mike Fitzgerald
107,Dave Thornburg
108,Kris Burm
109,Jean du Poël
110,Wolfgang Kramer
111,Reiner Knizia
112,Dominique Ehrhard|Duccio Vitale|Justin Kemppainen
113,Klaus Palesch
114,Philip O'Neill
115,Sid Sackson
116,Paul Peterson
117,Niek Neuwahl
118,Reiner Knizia
119,Reiner Knizia
120,Klaus Teuber
121,Bill Eberle|Jack Kittredge|Peter Olotka
122,Reiner Knizia
123,Uncredited
124,Doris Matthäus|Frank Nestel
125,Reiner Knizia
126,Simon Knock
127,Mark McLaughlin
128,Peter Burley
130,Darwin Bromley|Tom Wham
132,Wolfgang Lüdtke
133,Friedemann Friese
134,Thorsten Gimmler
135,Michael Schacht
136,Klaus Palesch
137,Sylvie Barc|Roger Heyworth|Los Rodriguez|Juan Rodriguez
139,"Bill Eberle|Edward Horn, Jr.|Jack Kittredge|Peter Olotka"
140,Edgar Cayce|Harry Gavitt|George S. Parker
141,Alan R. Moon
142,Christwart Conrad
143,Gerard Mulder|Johan Schuyl
144,Alan R. Moon
145,Sid Sackson
146,Reiner Knizia
147,James J. St. Laurent
148,Klaus Kreowski
150,Jean du Poël
151,Reinhold Wittig
152,Doris Matthäus|Frank Nestel
153,Wolfgang Kramer
154,Dieter Danziger
155,Karl-Heinz Schmiel
156,Wolfgang Kramer|Ursula Kramer
157,Darwin Bromley|Steven Courtemanche|Larry Roznai
158,Alan R. Moon
162,Tom Wham
163,Laura Robinson|Paul Toyne
164,James Ernest
165,Eric Solomon
166,Greg Porter
167,Doris Matthäus|Frank Nestel
168,Darwin Bromley|Bill Fawcett
169,Reiner Knizia
170,David B. Bromley
171,Uncredited
172,Stefan Dorra
173,Laurent Lavaur|Eric Randall
174,Hanno Kuhn|Wilfried Kuhn
175,Alex Randolph
176,James Ernest
177,Lauren Banerd|Jim Eliason|Jeff Groteboer|Bruce Harper|Eric Hunter|Steven Padgett
178,Reiner Knizia
179,Reiner Knizia
180,Thorsten Gimmler
181,Albert Lamorisse|Michael I. Levin
182,Reiner Knizia
183,Reiner Knizia
185,James Ernest
186,David Hoyt
188,Uncredited
189,Klaus Teuber
190,Reiner Stockhausen
192,Horst-Rainer Rösner
193,Uncredited
194,Sergio Aragonés|Ken Whitman
195,Craig Van Ness
196,Urs Hostettler
197,James Kyle
198,Sid Sackson
199,Andreas Seyfarth
200,Klaus Teuber
201,Dirk Henn
202,Wil Dijkstra|Ben van Dijk
203,Uncredited
204,Reiner Knizia
206,Michael Kiesling|Wolfgang Kramer
207,Skaff Elias|Richard Garfield|Jim Lin
208,Rüdiger Dorn
210,Dominique Ehrhard
211,Richard Borg
214,Rudi Hoffmann
215,Urs Hostettler
216,Reiner Knizia
217,Karl-Heinz Schmiel
218,Larry Winters|P. Winters
219,Stefan Dorra
220,Reiner Knizia
221,Michael Gray
222,Uwe Rosenberg
223,Wolfgang Kramer
224,Gary Dicken|Steve Kendall|Phil Kendall
225,John Cooper|Andrew Looney
226,Corné van Moorsel
227,Pierre Cléquin|Bruno Faidutti
228,John Nephew|Charlie Wiedman
229,Alan R. Moon
230,Richard Hamblen
231,Richard H. Berg
232,Dominique Ehrhard|Duccio Vitale
234,Mark Simonitch
235,Richard H. Berg
237,S. Craig Taylor
239,Irad B. Hardy
240,Lewis Pulsipher
241,Thomas Lehmann
242,Eric Goldberg|Ben Grossman|Steve Marsh I|Steven Marsh II|Vincent Tsao|Nikola Vrtis
243,Don Greenwood
244,Don Greenwood|Michael S. Matheny
246,Gabriele Ausiello|Michele Quondam
247,Mick Ado|Alan R. Moon
248,Derek Carver|Paul Cockburn
249,Ronald Wettering
250,Peter Hawes
252,John Young
254,Greg Pinder|Harry Rowland
255,Tom Walczyk
256,Werner Hodel
257,James Ernest
258,Andrew Looney|Kristin Looney
259,Don Greenwood|Ben Knight
260,Ben Knight
261,Stefan Dorra
263,Günter Burkhardt
264,Neal Schlaffer
265,Stefan Dorra
267,Wolfgang Kramer|Horst-Rainer Rösner
268,Klaus Paal
270,Dan Glimne|Henrik Strandberg
271,Reiner Knizia
272,Bernhard Weber
273,Francis Pacherie
274,Neal Schlaffer
275,Stephen Hubell
276,Nicolas Pilartz|Kevin Zucker
277,Reiner Knizia
278,Klaus Teuber
279,James Ernest
280,Reiner Knizia
281,Dan Glimne
282,Kim Bergström|Fabian Fridholm|Johan Palén
283,Bruce Harper
284,Phil Eklund
285,J. C. Connors I|Ben Knight
286,S. Craig Taylor|James B. Wood
287,Sid Sackson
288,François-Stanislas Thomas
289,Charles Vasey
290,Reiner Knizia
291,Philippe Mouchebeuf
292,Reiner Knizia
293,Jacques Zeimet
294,Richard Breese
295,Leo Colovini|Duccio Vitale
296,Christwart Conrad
297,Dan Glimne
298,Günter Burkhardt
299,Philip C. Barker|Sue Laflin Barker|Richard Bodley Scott
300,Reiner Knizia
301,Hanno Kuhn|Wilfried Kuhn
302,Wolfgang Kramer
303,Hartmut Witt
304,Michael Kiesling|Wolfgang Kramer
305,Klaus Teuber
306,Klaus Teuber
307,Richard Winter
308,Alan R. Moon
309,Günter Cornett
310,Willis P. Carpenter|Garrett J. Donner|Mick Uhl|Michael S. Steer
311,Thomas Lehmann
312,Friedemann Friese
313,Wolfgang Kramer
314,Reinhard Herbert
315,Uncredited
316,Tom Kruszewski
317,Mark Caines|Anthony Watts
318,Eric Alleman
319,Eberhard Schnatz
320,Alfred Mosher Butts
321,Virginia Charves|Bertram Kaes
322,Stefan Dorra
323,Gerhard E. Kodys
324,Spartaco Albertarelli
325,Klaus Teuber
327,Masaru Aoki|Carol Wiseley
328,John Bohrer
329,Neil Zimmerer
330,Richard Halliwell
332,Klaus Teuber
333,Mattiene Moustakas
334,Charles Phillips
335,Alex Randolph
336,Uncredited
337,JBJ|Reiner Knizia
338,Uwe Rosenberg
339,Marsha J. Falco
340,Doris Matthäus|Frank Nestel
342,Reiner Knizia
343,Reiner Knizia
344,Reiner Knizia
345,John Bohrer
347,Alan R. Moon
348,Wolfgang Kramer|Richard Ulrich
349,Alex Randolph
350,Klaus Palesch
352,Phil Orbanes Sr.
353,Leo Colovini|Alex Randolph
354,Klaus Palesch
355,Reiner Knizia
356,Helga Huber|Hermann Huber
357,Reiner Knizia
359,Reiner Knizia
360,Scott Kimball
361,David Parlett
362,Henri Sala
363,Reiner Knizia
364,Sid Sackson
365,Alan R. Moon
366,Wolfgang Kramer
367,Frank DiLorenzo|Stacey Merrill
368,Reiner Knizia
369,Jack Montgomery|Ellen Washburne|Norman Washburne
370,Wolfgang Kramer|Richard Ulrich
371,Mike Fitzgerald
372,Reiner Knizia
373,Steve Doherty
374,Reinhard Staupe
375,David Coutts
376,Michael Rieneck
377,Mark J. Bronkowski
378,Martin Wallace
379,Darwin Bromley
380,Douglas Seaton
381,Valentin Herman
382,Wolfgang Kramer
