gameId,name
1,Strategy Games
2,Strategy Games
3,Strategy Games
5,Strategy Games
7,Abstract Games
9,Strategy Games
10,Family Games
11,Family Games
12,Strategy Games
13,Family Games|Strategy Games
14,Family Games|Strategy Games
15,Strategy Games|Thematic Games
16,Strategy Games
17,Customizable Games
18,Strategy Games|Thematic Games
19,Family Games
20,Strategy Games
22,Strategy Games|Thematic Games
23,Thematic Games|Wargames
24,Thematic Games
25,Thematic Games|Wargames
26,Strategy Games
27,Wargames
28,Strategy Games|Thematic Games
30,Thematic Games
31,Thematic Games
32,Abstract Games
34,Thematic Games
36,Wargames
37,Wargames
40,Thematic Games|Wargames
41,Family Games
42,Strategy Games
43,Strategy Games
44,Family Games
45,Family Games|Party Games
46,Strategy Games
47,Strategy Games
48,Strategy Games
49,Family Games
50,Family Games
51,Abstract Games
52,Wargames
54,Strategy Games
57,Strategy Games
58,Thematic Games|Wargames
59,Strategy Games
60,Strategy Games
61,Abstract Games|Family Games
62,Thematic Games
63,Wargames
64,Strategy Games|Wargames
66,Strategy Games
67,Wargames
68,Wargames
69,Abstract Games
70,Family Games|Strategy Games
71,Strategy Games
72,Strategy Games
73,Family Games|Strategy Games
74,Party Games
75,Party Games
76,Strategy Games
77,Wargames
78,Wargames
79,Wargames
80,Wargames
81,Wargames
82,Wargames
83,Wargames
84,Wargames
85,Wargames
87,Wargames
88,Abstract Games|Strategy Games
89,Wargames
90,Family Games
91,Wargames
93,Strategy Games
94,Strategy Games
95,Family Games
96,Thematic Games|Wargames
97,Thematic Games|Wargames
98,Wargames
99,Thematic Games|Wargames
101,Family Games
102,Family Games|Strategy Games
103,Thematic Games|Wargames
104,Strategy Games
105,Family Games|Strategy Games
106,Family Games|Strategy Games
107,Abstract Games
108,Abstract Games
109,Family Games|Strategy Games
110,Family Games
111,Strategy Games
112,Strategy Games
115,Family Games|Strategy Games
116,Family Games
117,Abstract Games
118,Strategy Games
119,Abstract Games|Strategy Games
120,Family Games
121,Strategy Games|Thematic Games
122,Strategy Games
124,Strategy Games
125,Family Games
126,Party Games
127,Wargames
128,Abstract Games|Family Games
130,Strategy Games
132,Strategy Games
133,Strategy Games
134,Family Games
135,Strategy Games
137,Party Games
139,Party Games|Strategy Games
140,Family Games|Party Games
141,Family Games|Strategy Games
142,Strategy Games
145,Family Games|Strategy Games
146,Family Games|Strategy Games
147,Strategy Games
150,Family Games|Party Games
152,Strategy Games
153,Family Games
154,Strategy Games
155,Family Games|Strategy Games
156,Family Games
157,Strategy Games
158,Strategy Games
162,Thematic Games|Wargames
163,Party Games
164,Family Games|Thematic Games
165,Abstract Games
167,Strategy Games
168,Strategy Games
169,Family Games
170,Family Games|Thematic Games
171,Abstract Games
172,Family Games
173,Thematic Games
175,Family Games
176,Family Games|Thematic Games
177,Strategy Games
178,Abstract Games
179,Abstract Games
180,Abstract Games
181,Family Games|Wargames
182,Family Games
183,Abstract Games
185,Family Games
188,Abstract Games
189,Family Games|Strategy Games
190,Family Games
192,Family Games
193,Family Games
194,Thematic Games
196,Strategy Games|Thematic Games
198,Family Games
199,Family Games
200,Family Games|Strategy Games
201,Abstract Games
202,Strategy Games|Wargames
203,Children's Games
204,Strategy Games
214,Family Games
215,Strategy Games
216,Abstract Games
217,Family Games
218,Family Games|Strategy Games
220,Family Games
221,Thematic Games|Wargames
222,Family Games
223,Family Games
224,Strategy Games|Thematic Games
225,Abstract Games
226,Abstract Games
227,Abstract Games
228,Thematic Games
229,Family Games
230,Strategy Games
231,Wargames
232,Strategy Games
234,Wargames
235,Thematic Games|Wargames
237,Wargames
239,Wargames
240,Wargames
241,Strategy Games|Thematic Games
242,Strategy Games|Thematic Games
243,Wargames
244,Strategy Games|Thematic Games
247,Family Games
248,Thematic Games
249,Family Games|Strategy Games
250,Strategy Games|Wargames
252,Wargames
254,Wargames
255,Wargames
256,Family Games
257,Family Games
258,Family Games|Party Games
259,Strategy Games|Wargames
260,Wargames
261,Family Games
263,Family Games|Strategy Games
264,Wargames
265,Strategy Games
267,Strategy Games
270,Strategy Games|Thematic Games
271,Family Games
273,Strategy Games|Wargames
274,Wargames
276,Wargames
277,Strategy Games
278,Strategy Games
279,Abstract Games
280,Family Games|Strategy Games
282,Wargames
283,Wargames
284,Strategy Games|Thematic Games|Wargames
285,Thematic Games
286,Strategy Games|Wargames
287,Abstract Games|Family Games
288,Wargames
289,Wargames
290,Family Games
292,Family Games
293,Family Games|Party Games
295,Strategy Games
296,Strategy Games
298,Wargames
299,Wargames
300,Family Games
301,Family Games
302,Abstract Games
303,Strategy Games
305,Family Games|Strategy Games
306,Family Games
307,Strategy Games|Thematic Games
308,Strategy Games
309,Abstract Games
310,Thematic Games|Wargames
311,Strategy Games
312,Strategy Games|Thematic Games
313,Strategy Games
