,Unnamed: 0,userId,gameId,rating,timestamp,status
116669,4561165,63612,118,10.0,2022-01-01,Owned
109852,4305644,60181,10997,8.0,2005-05-01,
106616,4181572,58517,105,6.5,2012-01-01,
63208,2568083,36596,6353,8.0,2008-02-01,Owned
57224,2353179,33726,42,8.0,2007-01-01,Owned
2449,108165,1647,12942,8.0,2014-12-01,Owned
54573,2251479,32341,5,6.0,2020-01-01,Owned
54089,2233889,32092,1115,10.0,2014-03-01,
46231,1922353,27678,1198,8.0,2021-03-01,Owned
84658,3370989,47442,5048,2.0,2008-05-01,
35353,1459769,21105,182,6.6,2013-02-01,
65317,2654257,37844,256,10.0,2017-01-01,Owned
10977,454835,6637,9203,8.0,2008-03-01,
76588,3078997,43573,5,7.0,2012-02-01,Owned
43110,1781452,25634,3820,4.0,2020-01-01,
147,5519,66,16395,5.0,2020-09-01,Prev. Owned
11125,462137,6755,105,6.0,2007-08-01,Owned
23075,943180,13697,9203,8.0,2010-02-01,
58445,2396427,34325,5,8.0,2006-05-01,
45284,1879668,27053,12942,8.0,2016-06-01,Owned
27279,1120701,16172,6932,5.0,2015-10-01,
117683,4596252,64061,12002,8.0,2013-03-01,Owned
120763,4718030,65730,5,8.0,2012-09-01,Owned
59385,2431006,34777,1403,4.0,2020-12-01,
105094,4126280,57818,5048,4.0,2011-02-01,Owned
56271,2318530,33258,1783,7.0,2007-07-01,
49030,2033677,29289,132,8.5,2009-06-01,
36669,1512674,21903,17405,9.0,2015-10-01,
4614,197490,2922,5,7.0,2008-07-01,
28245,1159371,16742,4529,10.0,2006-04-01,
102235,4025625,56458,5534,7.0,2007-11-01,
124465,4930555,3794,5808,5.0,2021-06-01,Prev. Owned
114804,4487662,62610,16772,10.0,2007-09-01,
22275,914925,13318,9217,8.0,2011-11-01,Owned
122847,4799403,66841,904,8.0,2003-10-01,
121557,4748724,66145,5,8.5,2009-02-01,Owned
27297,1121827,16186,1115,9.0,2005-03-01,Owned
106300,4170569,58381,12196,5.0,2016-08-01,
30651,1264035,18198,12002,8.5,2011-01-01,
21787,896617,13056,1345,2.0,2012-02-01,
47423,1971871,28421,194,6.0,2007-02-01,
100050,3949165,55460,1509,6.0,2005-06-01,
13220,550896,8011,5,10.0,2011-08-01,Owned
39488,1626835,23512,1198,7.0,2015-08-01,Owned
68801,2800611,39962,5,7.0,2008-01-01,
123104,4809606,66980,7562,5.0,2007-03-01,Owned
61192,2496619,35627,118,7.1,2016-06-01,Prev. Owned Want To Buy Want To Play
87552,3478846,49009,118,8.0,2015-09-01,
98406,3881427,54518,42,8.0,2015-02-01,
58446,2396438,34325,986,7.0,2004-12-01,
27176,1116708,16117,1032,7.8,2018-01-01,
103160,4057127,56878,1231,6.0,2005-05-01,Owned
94979,3751290,52704,4529,3.0,2016-01-01,
2147,93982,1432,132,7.0,2006-11-01,Owned
38668,1595058,23062,1198,7.5,2011-05-01,Owned
66305,2694704,38440,3820,6.0,2006-03-01,Owned For Trade
11411,475375,6950,9615,5.0,2018-02-01,
54064,2232757,32076,5,6.0,2021-03-01,Owned
33971,1403283,20343,1037,8.0,2007-04-01,Owned
89683,3556657,50065,4529,7.0,2006-07-01,Owned
75332,3033202,43022,118,7.0,2018-06-01,Owned
25064,1029642,14921,2250,6.0,2010-09-01,
32505,1338661,19380,12942,7.0,2017-09-01,
48736,2023289,29170,1198,5.0,2017-08-01,
46852,1948659,28068,1198,7.0,2018-04-01,Owned
121948,4763435,66359,2818,6.0,2011-10-01,Owned
25112,1031743,14949,5,7.0,2011-12-01,Owned
67321,2738283,39092,4769,7.0,2018-10-01,
122046,4767716,66423,1231,8.0,2009-12-01,
78545,3148012,44499,13551,7.0,2016-07-01,Owned
19265,789633,11505,3820,4.0,2011-09-01,
28780,1184839,17076,12902,6.0,2005-08-01,
104192,4090904,57325,1234,7.0,2005-08-01,Owned
52987,2191298,31529,42,8.0,2017-04-01,Owned
68335,2781832,39697,5,7.0,2009-05-01,Owned
117888,4604589,64160,118,7.0,2012-01-01,
37300,1538501,22261,194,8.0,2018-04-01,Owned
606,23836,331,12942,4.0,2017-06-01,Owned
108118,4237072,59279,2425,2.0,2018-10-01,
41463,1706091,24571,1422,4.0,2019-01-01,Prev. Owned
91162,3611318,50808,118,7.0,2021-08-01,Owned
51456,2130625,30667,3125,8.0,2015-05-01,Owned
69619,2834907,40414,9615,7.0,2006-10-01,
88337,3506209,49369,5048,3.0,2017-10-01,
